course_code,course_name,material_type,material_title,material_link,description,keywords
CSE 2205,"Microprocessors, Microcontrollers and Assembly Language",Book,Book on Microprocessor,https://drive.google.com/drive/folders/1p-OVavHGuYsnyA5ZAQxvZeEHkCvzKtXe,introduction to microprocessor and assembly language,"microprocessor,assembly,hardware"
CSE 2205,"Microprocessors, Microcontrollers and Assembly Language",Note,Class Note on Microprocessor,https://drive.google.com/drive/folders/1h0SOPYokBcIeV0iIOpSgiG70z6rrgr_h,microprocessor thoery,"microprocessor,assembly,hardware"
CSE 2205,"Microprocessors, Microcontrollers and Assembly Language",Video,Video tutorial on Microprocessor,https://www.youtube.com/watch?v=_BpOV3G1-m0&list=PLAZj-jE2acZLdYT7HLFgNph190z2cjmAG&index=1,hands on assembly language ,"microprocessor,assembly,hardware"
CSE 2206,"Microprocessors, Microcontrollers and Assembly Language Sessional",Lab Manual,Lab Materials on Microprocessor and Assembly language,https://drive.google.com/drive/folders/1ZLjdgyYSUmrBRRwMNDW0wkXRxfPFD1IC,assembly language implentation,"microprocessor,assembly,hardware"
Math 2213,"Complex Variable, Partial Differential Equation and Harmonic Analysis",Book,Complex variable Book,https://drive.google.com/drive/folders/1vJD173ZeJTR6kv9l9Cw_8Jx__oj8U1Qi,basic to advance complex variable,"complex, variable"
Math 2213,"Complex Variable, Partial Differential Equation and Harmonic Analysis",Book,PDE Book,https://drive.google.com/drive/folders/18gA1gwDTuiFGlRriGsbyjqyhIfkp-XvZ,basic to advance pde,"pde,laplace,fourier"
Math 2213,"Complex Variable, Partial Differential Equation and Harmonic Analysis",Note,Complex variable Note,https://drive.google.com/drive/folders/1OG2uoVZo_Ov56EpuPyUTBakDwc65Wvco,basic to advance complex variable,"complex, variable, note"
Math 2213,"Complex Variable, Partial Differential Equation and Harmonic Analysis",Note,PDE Note,https://drive.google.com/drive/folders/131Wn1myIDvKBkh7Oue6o5T6dfixJ3i4D,basic to advance pde,"pde,laplace,fourier"
Hum 2213 ,Industrial Management and Accountancy,Slide,Accounting Slide,https://drive.google.com/drive/folders/10B9UK5LWYyYF4BeXOpYupyvkazBL4doI,hands on accounting,"accounting, debit,credit"
Hum 2213 ,Industrial Management and Accountancy,Note,Note on Accounting,https://drive.google.com/drive/folders/17CXGnsfRQ9trBWLb59PkF_MeptTh2u8w,hands on accounting,"accounting, debit,credit"
Hum 2213 ,Industrial Management and Accountancy,Video,video tutorial on accounting,https://www.youtube.com/watch?v=0IMFxZnXkqc&list=PLMW5djzR9cKM6uXFtWjdI0nAPcFj-xCjR,accounting video tutorial with shortchuts,"accounting, debit,credit"
Hum 2213 ,Industrial Management and Accountancy,Slide,Slide on Management,https://drive.google.com/drive/folders/1HlkT2ruOlC1xcEnlpQkwD7DjgfpbyefX,management slide for clearing concept,management
CSE 3100,Web Based Application Project,Video,Video tutorial on Website Project,https://www.youtube.com/watch?v=nu_pCVPKzTk&t=25351s,"web design one shot tutorial with html,css,javascript","website,webapp,html,css,javascript"
CSE 3101,Database Systems,Book,Book on Database System,https://drive.google.com/drive/folders/1ms9bsN9s5Xu4t1NGpG-IJ6F0MH95g5IJ,"database system,sql book","database,sql,backend"
CSE 3101,Database Systems,Video,Video tutorial on Database,https://www.youtube.com/watch?v=eScmGBrUlmg&list=PLgrAmbRAezuhRWTyOKPxvoiyNQfPo6Iv3&index=1,database bangla tutorial,"database,sql,query"
CSE 3101,Database Systems,Note,Class Note on Database Systems,https://drive.google.com/drive/folders/19Bbn7ZGimTXfbvT7Eis-LsjyyWZ4yLaz,database class note from basic to advance,"database,sql,query"
CSE 3102,Database Systems Sessional,Lab Manual,Lab Materials on Database Systems Sessional,https://drive.google.com/drive/folders/1ds_jgFdSMrrZiWGvK9d9qAnaJXbq3wIz,database thoery implementation,"database,sql,query"
CSE 3103,Theory of Computation,Book,Book on TOC,https://drive.google.com/drive/folders/1zcqK0HjKHKVwPCXJjL41mKxO0HlYBFRm,theory of computation book,"toc,finite automata"
CSE 3103,Theory of Computation,Note,Note on TOC,https://drive.google.com/drive/folders/1T2qp8sqwKl6f8Mf-1YNcIL19fXSgXF4X,theory of computation note,"toc,finite automata"
CSE 3103,Theory of Computation,Slide,Slide on TOC,https://drive.google.com/drive/folders/1MlxmpltWB32-75sCJNDnhWds4wpBZ_5j,theory of computation slide,"toc,finite automata"
CSE 3103,Theory of Computation,Video,Video on TOC,https://www.youtube.com/watch?v=XslI8h7cGDs&list=PLxCzCOWd7aiFM9Lj5G9G_76adtyb4ef7i&index=1,theory of computation video,"toc,finite automata video"
CSE 3105,Computer Interfacing and Embedded Systems,Book,Book on CIES,https://drive.google.com/drive/folders/1v3YJkFrsQ97htFy9jky-lE3LwAQJ0DXw,Computer Interfacing and Embedded System book,"book, cies, embedded"
CSE 3105,Computer Interfacing and Embedded Systems,Note,Note on CIES,https://drive.google.com/drive/folders/1QEMOEFsRyejCv_0yGUrdXmmt9HtDcoWp,Note for thoery,"note of cies, embedded"
CSE 3105,Computer Interfacing and Embedded Systems,Slide,Slide on CIES,https://drive.google.com/drive/folders/1NqMPdtoDcPoLzjKjgI8rOwK7wngdv2R1,Slide provided by teacher,"slide of cies, slide of computer interfacing and embedded sytem"
CSE 3106,Computer Interfacing and Embedded Systems Sessional,Lab Manual,Lab Materials on CIES,https://drive.google.com/drive/folders/1447MXBp9nrJ0En77v0VeZqJ2IsIS9LuU,Application of CIES in lab,"arduino,stm32,hardware"
CSE 3107,Computer Architecture,Book,Computer Architecture Book,https://drive.google.com/drive/folders/1DY2o6_IdNfuJeRSORD_juzMikSXBmE1R,Computer Architecture Design thoery,"ca, computer architecture"
CSE 3107,Computer Architecture,Note,Class Note on Computer Architecture,https://drive.google.com/drive/folders/1_y3sasBH4wrkFtSrLDD9FIuCeP5D60ki,Class note of Computer Architecture,"ca, computer architecture class note"
CSE 3107,Computer Architecture,Slide,Slide on Computer Architecture,https://drive.google.com/drive/folders/1raTFgZphP_2jz14vSDH4COp66p7DWhrU,Slides on Computer Architecture provides by teacher for clearing concept,"ca,computer architecture slide"
CSE 3107,Computer Architecture,Video,Video on Computer Architecture,https://www.youtube.com/watch?v=Ol8D69VKX2k&list=PLBlnK6fEyqRgLLlzdgiTUKULKJPYc0A4q&index=1,video on Computer Architecture provides by teacher for clearing concept,"ca,computer architecture video"
CSE 3108,Computer Architecture Sessional,Lab Manual,Lab Materials on Computer Architecture,https://drive.google.com/drive/folders/1d9s0MRqIKlojicZwkVjDnBjz1IyUcKRX,implementation of computer architecture in lab,"ca,computer architecture lab"
CSE 3109 ,Applied Statistics and Queueing Theory,Book,Book on Applied Statistics,https://drive.google.com/drive/folders/1B2PvrrUCN05qT52ROeX77vASXXiFcGj9,books clearing basic concept,"statistics, queueing theory"
CSE 3109 ,Applied Statistics and Queueing Theory,Note,Note on Applied Statistics,https://drive.google.com/drive/folders/1qPUwWbQKzEy97LEPPFdIuKIAyebG380J,notes on teachers topic covered in class,"statistics,queueing theory class note"
CSE 3109 ,Applied Statistics and Queueing Theory,Slide ,Slide on Applied Statistics,https://drive.google.com/drive/folders/1Jr4SC7aiNdlZUcEWzpMdspZk9DEnJRS4,slides provide by teacher on statistics,statistics slide
CSE 3200,Software Development Project II,Video,Video tutorial on software project 2,https://www.youtube.com/watch?v=ZftI2fEz0Fw&list=PLKnIA16_Rmvbr7zKYQuBfsVkjoLcJgxHH,video tutorial on a Machine learning so that student can make ML based project with previous software project 1 knowledge,"software,project 2"
CSE 3201,Operating Systems,Book,Operating systems Book,https://drive.google.com/drive/folders/1K8RFQ2ZpPAn0jXMQlbkhvGbfzFcnrKoy,Operating system concept from book,"os,operating sytem book"
CSE 3201,Operating Systems,Note,Class Note on Operating system,https://drive.google.com/drive/folders/1NJMhPjcV-oFOTLKNCvUmkGfZVVSHT7xE,Operating system class note which teacher coveres in class,"os,operating sytem class note"
CSE 3201,Operating Systems,Slide,Slide on Operating System,https://drive.google.com/drive/folders/1DaldLOmRxvblq60hn8Ln8maRTR5YgqD5,operating system slides provided by teacher,"os,operating sytem slide"
CSE 3201,Operating Systems ,Video,Video tutorial on Operating System,https://www.youtube.com/watch?v=bkSWJJZNgf8&list=PLxCzCOWd7aiGz9donHRrE9I3Mwn6XdP8p&index=1,operating system video tutorial for more concept clear,"os,operating sytem video tutorial"
CSE 3202,Operating Systems Sessional,Lab Manual,Lab Materials on Operating System,https://drive.google.com/drive/folders/1WEGyymiOh0eRc9C0awwMaem5GEbVy2pi,application of operating system in lab,"os,operating system lab"
CSE 3203,Data Communication,Book,Data Communication Book,https://drive.google.com/drive/folders/1efPyHhb3j7XebBmhPA4i7VRwySqYzXyK,Data Communication book for concept,"dc,data communication book"
CSE 3203,Data Communication,Note,Data communication class note,https://drive.google.com/drive/folders/1ar1mJk0gG27lbCA6wRtD5JnoKG8Px2_d,data communication class note on teachers lecture,"dc,data communication class note"
CSE 3203,Data Communication,Slide,Slide on Data Communication,https://drive.google.com/drive/folders/1MMekl-ZsctKPrs-34E1bCv5TEbNvU801,Slides on Data Communication provided by teacher,"dc, data comunication slide"
CSE 3204,Data Communication Sessional,Lab Manual,Lab Materials on Data Communication,https://drive.google.com/drive/folders/1kkNDXBr-YZCKwwkkIBhUi7rXSQvWjU_6,data communication practical,"dc, data comunication lab"
CSE 3205,Software Engineering,Book,Book on Software Engineering,https://drive.google.com/drive/folders/1bge54yVLAqTQxgf4mxJ-d-GN06dQA7fm,book for software engineering for clearing basic knowledge,"swe,software engineering book"
CSE 3205,Software Engineering,Slide,Slide on Software Engineering ,https://drive.google.com/drive/folders/1huvCY1ky56LxjE5lzeiDHwGSgfGWY1aV,slide provide by teacher on software engineering,"swe,software engineering slide"
CSE 3205,Software Engineering,Note,Class Note on Software Engineering,https://drive.google.com/drive/folders/1mlHLyNSGaauSViypc8gZYxBKwYLtK3DX,class note on topics cleared by teacher,"swe,software engineering note"
CSE 3205,Software Engineering ,Video,video tutorial on software engineering,https://www.youtube.com/watch?v=uJpQlyT_CK4&list=PLxCzCOWd7aiEed7SKZBnC6ypFDWYLRvB2&index=1,software engineering video tutorial for more knowledge,"swe,software engineering video"
CSE 3206,Software Engineering Sessional,Lab Manual,Lab Materials Software Engineering,https://drive.google.com/drive/folders/10qdjgAb34O-J9mCm_0hirI5lik9pJdjC,Practical implementation ,"swe,software engineering lab"
CSE 3207,Artificial Intelligence,Book,Boooks on Artificial Intelligence,https://drive.google.com/drive/folders/1wlPG6JcsX-s8GL-LvSLjTLwXLcSE58ex,books on artificial intelligence for theory knowledge,"ai, artificial intelligence book"
CSE 3207,Artificial Intelligence,Slide,Slide on Aritificial Intelligence,https://drive.google.com/drive/folders/1kEFhmSgjy4S7H1wqaUF9DR5gGY8QwCWQ,slide of artificial intelligence provided by teacher,"ai, artifiial intelligence slides"
CSE 3207,Artificial Intelligence,Note,Class note on artificial intelligence,https://drive.google.com/drive/folders/16IkP7BdRNz8wo8U15FiKW12SuoZmVJlZ,class note on teacher topics covered in class,"ai, artificial intelligence class note"
CSE 3207,Artificial Intelligence,Video,video playlist of artifical intelligence,https://www.youtube.com/watch?v=uB3i-qV6VdM&list=PLxCzCOWd7aiHGhOHV-nwb0HR5US5GFKFI&index=1,youtube video on artificial intelligence for more knowledge,"ai, artificial intelligence video"
CSE 3208,Artificial Intelligence Sessional,Lab Manual,Lab Materials of Artificial Intelligence,https://drive.google.com/drive/folders/1zcivzRL5NnuPLE1N-MoEm2Bz5nBn53z5,implementation of different kind of ai algorithm in lab,"ai, artificial intelligence lab"
CSE 3209,Digital Signal Processing,Book,Books on Digital Signal Processing,https://drive.google.com/drive/folders/1UOhKJj1W239YtlJbIvEjv7WnXajWWd_3,books for gaining concept on digital signal processing,"dsp, digital signal processing book"
CSE 3209,Digital Signal Processing,Note,Class note on Digital Signal Processing,https://drive.google.com/drive/folders/1Egrb6kSgi56nOBP1gcERoWQwPQ1sxL3V,class note on class teachers lecture,"dsp, digital signal processing note"
CSE 3209,Digital Signal Processing,Video,Video tutorial on Digital Signal processing,https://www.youtube.com/watch?v=EzBNf7-BuPc&list=PL0s3O6GgLL5fE_5tWc4YaHKmsXBkhoLYv&index=1,youtube video tutorial for digital signal processing,"dsp, digital signal processing video tutorial"
CSE 3210 ,Digital Signal Processing Sessional,Lab Manual,Lab Materials on Digital Signal Processing,https://drive.google.com/drive/folders/1EKP_2Wxge828jqefiIwPePForjvzidTg,theory implementation in lab,"dsp, digital signal processing lab"
CSE 4101,Compiler Design,Book,Book on Compiler Design,https://drive.google.com/drive/folders/14sQHbWyVukn4di7C8ZOfzoHP3B0a_62N,Book on compiler design for basic concept of it,compiler design book
CSE 4101,Compiler Design,Note,Class note on compiler design,https://drive.google.com/drive/folders/1CcfLhk2I7142EU3O2FKDrMwKkykyKPvi,class note on teacher class,compiler design note
CSE 4101,Compiler Design,Slide,Slide on compiler design,https://drive.google.com/drive/folders/1K7d4BsQVONJJoJL7uMJo31TwmkC5Krp7,compiler design slides provided by class teacher,compiler design slide
CSE 4101,Compiler Design,video ,video tutorial compiler design,https://www.youtube.com/watch?v=XnyZ5wy9HQI&list=PLncy2sD7w4Yo_d-l9V7Uq1Xydt-rqikvT&index=1,youtube video tutorial for compiler design,compiler design video
CSE 4102,Compiler Design Sessional,Lab Manual,Lab materials on compiler design,https://drive.google.com/drive/folders/19JebVtpVbOlOJf5trLefUKV5Orwupy6S,lab for better understanding about compiler design,compiler design lab
CSE 4103,Computer Networks,Book,Book on Computer Network,https://drive.google.com/drive/folders/1c8CTFISJuOMNdQEZRgi_v9T9FKGm127q,book on computer network for theory,"network, computer network theory"
CSE 4103,Computer Networks,Slide,Slide on computer network,https://drive.google.com/drive/folders/1BxU_AxH9G2eVYrIU-xu0WJEpBB6cysWC,slide on computer network provided by class teacher,"network,computer network slide"
CSE 4103,Computer Networks,Video,Video tutorial on computer network,https://www.youtube.com/watch?v=JFF2vJaN0Cw&list=PLxCzCOWd7aiGFBD2-2joCpWOLUrDLvVV_&index=1,video tutorial on computer network for more knowledge,"network,computer network video tutorial"
CSE 4104,Computer Networks Sessional,Lab Manual,Computer Network lab material,https://drive.google.com/drive/folders/1U54Uf3B8Xvp-n3xFPYpJdrlZPLl-nZmk,lab for better understanding on computer network,"network, computer network lab"
CSE 4105,Digital Image Processing,Book,Book on Digital Image Processing,https://drive.google.com/drive/folders/1yeT4zRNXjWJvhSDA0gnoREpRz68HvoAb,book for better understanding on theory,"dip, digital image processing book"
CSE 4105,Digital Image Processing,Slide,Slide on Digital Image Processing,https://drive.google.com/drive/folders/1syLttlBY9hJc5HD50HkhCXa01KwBQ-KB,slide on digital image processing,"dip,digital image processing slide"
CSE 4105,Digital Image Processing,Note,Class note on Digital Image Processing,https://drive.google.com/drive/folders/1BL07pxFxn-sE25VEgtIeamaH3PYtXboP,class note on digital image processing,"dip, digital image processing note"
CSE 4105,Digital Image Processing,Video,video tutorial on digital image processing,https://www.youtube.com/watch?v=2oEt5lbsyhM&list=PLbwfaPBgAKFEPBg-OFzmjFWmRKKrYigLi,youtube video for more concept on digital image processing,"dip, digital image processing video"
CSE 4106,Digital Image Processing Sessional,Lab Manual,Lab Materials of Digital Image Processing,https://drive.google.com/drive/folders/1ZdzkQYxHAXcpTwc4LHb1_XuyRBqHrWXB,lab for better understanding on digital image processing,"dip, digital image processing lab"
